,information,match,bet,outcome,course,date,status
0,,"['Osijek', 'Hajduk Split']",Liczba goli,poniżej 2.5,1.8,2022-08-28T19:05:00.000Z,active
0,,"['Brno', 'Slavia Praga']",Mecz,2,1.67,2022-08-28T17:00:00.000Z,active
0,,"['Manchester City', 'Nott. Forest']",Liczba goli,powyżej 3.5,1.75,2022-08-31T18:30:00.000Z,active
0,,"['KR Reykjavik', 'Hafnarfjordur']",Liczba goli,poniżej 3.5,1.65,2022-08-28T17:00:00.000Z,active
0,,"['Eibar', 'Ponferradina']",Mecz,1,1.85,2022-08-28T17:30:00.000Z,active
0,,"['Teplice', 'Zlin']",Liczba goli,poniżej 2.5,1.9,2022-08-27T14:00:00.000Z,active
0,,"['Montpellier', 'Ajaccio']",Liczba goli,poniżej 2.5,1.85,2022-08-31T17:00:00.000Z,active
0,,"['Landskrona BoIS', 'Trelleborgs FF']",Liczba goli,powyżej 2.5,1.8,2022-08-27T11:00:00.000Z,active
0,,"['St.Truidense', 'Mechelen']",Liczba goli,powyżej 2.5,1.9,2022-08-27T18:45:00.000Z,active
0,,"['Teut. Ottensen', 'RB Lipsk']",Liczba goli,poniżej 5.5,1.9,2022-08-30T18:46:00.000Z,active
0,,"['Celje', 'ND Gorica']",Mecz,1,1.65,2022-08-26T18:15:00.000Z,active
0,,"['Juventus', 'Spezia']",Liczba goli,poniżej 3.5,1.53,2022-08-31T18:45:00.000Z,active
0,,"['Viborg', 'West Ham']",Mecz,2,1.85,2022-08-25T17:00:00.000Z,active
0,,"['Ruzomberok', 'Slovan B.']",Liczba goli,powyżej 2.5,1.9,2022-08-28T18:30:00.000Z,active
0,,"['Ipswich Town', 'Barnsley']",Mecz,1,1.7,2022-08-27T14:00:00.000Z,active
0,2141-7E25AD,,,,,,
1,1000,,,,,,
2,[12],,,,,,
3,16,,,,,,
4,81757.96,,,,,,
5,23358.78,,,,,,
6,bets:,,,,,,
0,,"['Twente', 'Fiorentina']",Liczba goli,poniżej 3.5,1.4,2022-08-25T17:00:00.000Z,active
0,,"['Slovacko', 'Slovan Liberec']",Liczba goli,poniżej 3.5,1.4,2022-08-28T14:00:00.000Z,active
0,,"['Hradec Kralove', 'Sigma Olomouc']",Liczba goli,poniżej 3.5,1.42,2022-08-28T14:00:00.000Z,active
0,,"['Chippa United', 'TS Galaxy']",Liczba goli,poniżej 2.5,1.47,2022-08-24T17:30:00.000Z,win
0,,"['Lecce', 'Empoli']",Liczba goli,poniżej 3.5,1.47,2022-08-28T18:45:00.000Z,active
0,,"['Leuven', 'Oostende']",Liczba goli,poniżej 3.5,1.5,2022-08-27T16:15:00.000Z,active
0,,"['IFK Goteborg', 'IK Sirius']",Liczba goli,poniżej 3.5,1.4,2022-08-28T13:00:00.000Z,active
0,,"['Sparta Praga', 'Bohemians Praga']",Mecz,1,1.42,2022-08-27T17:00:00.000Z,active
0,,"['Skovde AIK', 'Jonkopings Sodra']",Liczba goli,poniżej 3.5,1.4,2022-08-28T13:00:00.000Z,active
0,,"['Villarreal', 'Elche']",Mecz,1,1.42,2022-09-04T16:30:00.000Z,active
0,,"['Olimpija L.', 'Radomlje']",Liczba goli,poniżej 3.5,1.4,2022-08-27T15:30:00.000Z,active
0,,"['FAC Wiedeń', 'Amstetten']",Liczba goli,poniżej 3.5,1.42,2022-08-26T16:10:00.000Z,active
0,,"['Brann', 'Ranheim']",Liczba goli,poniżej 4.5,1.4,2022-08-29T16:00:00.000Z,active
0,,"['Liverpool', 'Newcastle']",Mecz,1,1.38,2022-08-31T19:00:00.000Z,active
0,,"['B. Dortmund II', 'Freiburg II']",Liczba goli,poniżej 3.5,1.4,2022-08-28T11:00:00.000Z,active
0,,"['Varbergs BoIS', 'IFK Norrkoping']",Liczba goli,poniżej 3.5,1.4,2022-08-28T13:00:00.000Z,active
0,2141-7E25AJ,,,,,,
1,1000,,,,,,
2,[13],,,,,,
3,16,,,,,,
4,38399.37,,,,,,
5,11917.04,,,,,,
6,bets:,,,,,,
0,,"['Osijek', 'Hajduk Split']",Liczba goli,poniżej 3.5,1.33,2022-08-28T19:05:00.000Z,active
0,,"['OFI Crete', 'Panathinaikos']",1.połowa - liczba goli,poniżej 1.5,1.33,2022-08-28T16:00:00.000Z,active
0,,"['Cittadella', 'Venezia']",Liczba goli,poniżej 3.5,1.33,2022-08-28T18:45:00.000Z,active
0,,"['Start', 'Grorud']",Mecz,1,1.28,2022-08-29T16:00:00.000Z,active
0,,"['Sivasspor', 'Malmo FF']",Liczba goli,poniżej 3.5,1.33,2022-08-25T17:00:00.000Z,active
0,,"['Ipswich Town', 'Barnsley']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Hajduk Split', 'Villarreal']",Liczba goli,powyżej 1.5,1.25,2022-08-25T19:00:00.000Z,active
0,,"['Sepsi', 'Rapid B.']",Liczba goli,poniżej 3.5,1.2,2022-08-27T18:45:00.000Z,active
0,,"['Slavia Praga', 'Raków']",Liczba goli,powyżej 1.5,1.33,2022-08-25T17:00:00.000Z,active
0,,"['Sheriff Tiraspol', 'Pyunik Yerevan']",Liczba goli,poniżej 3.5,1.28,2022-08-25T17:00:00.000Z,active
0,,"['Excelsior', 'PSV Eindhoven']",Liczba goli,powyżej 2.5,1.33,2022-08-28T12:30:00.000Z,active
0,,"['Napoli', 'Lecce']",Mecz,1,1.33,2022-08-31T18:45:00.000Z,active
0,,"['Union Espanola', 'Audax Italiano']",Liczba goli,powyżej 1.5,1.33,2022-08-29T00:00:00.000Z,active
0,,"['Breidablik', 'Leiknir R.']",Mecz,1,1.25,2022-08-28T19:15:00.000Z,active
0,,"['CA Boca Juniors', 'Atl. Tucuman']",Liczba goli,poniżej 3.5,1.22,2022-08-28T21:00:00.000Z,active
0,,"['Botafogo RJ', 'Flamengo RJ']",Liczba goli,poniżej 3.5,1.35,2022-08-28T21:00:00.000Z,active
0,2141-7E25AA,,,,,,
1,1000,,,,,,
2,[13],,,,,,
3,16,,,,,,
4,40909.93,,,,,,
5,12696.3,,,,,,
6,bets:,,,,,,
0,,"['Huddersfield', 'WBA']",Liczba goli,poniżej 3.5,1.33,2022-08-27T14:00:00.000Z,active
0,,"['Dukla Banska B.', 'Z.Moravce-Vrable']",Liczba goli,poniżej 3.5,1.33,2022-08-27T16:00:00.000Z,active
0,,"['Leeds', 'Barnsley']",Liczba goli,powyżej 1.5,1.22,2022-08-24T18:45:00.000Z,win
